table_name,column_name,data_type,row_count,null_count,null_percentage,distinct_value_count,min_value,max_value,top_3_values
lead_log,id,object,8,0,0.0,8,1,8,"{'1': 1, '2': 1, '3': 1}"
lead_log,lead_id,object,8,0,0.0,5,08b8ab0371b6a0cb79319628505c446c,c50f607bbae83f7c53551476e11997eb,"{'08b8ab0371b6a0cb79319628505c446c': 4, '774656feb3119be1d8d6d893429c7cc0': 1, 'bbd3c7b2448041dc5339b23878cacd79': 1}"
lead_log,source_category,object,8,0,0.0,2,Offline,Online,"{'Online': 7, 'Offline': 1}"
lead_log,created_at,object,8,0,0.0,5,2024-01-31 08:53:22.403000,2024-05-13 06:38:58.322000,"{'2024-05-01T02:54:03.482Z': 4, '2024-05-13T06:38:58.322Z': 1, '2024-05-10T04:16:27.919Z': 1}"
lead_log,preferred_location,object,8,0,0.0,3,ADITYAWARMAN,GAJAH MADA,"{'BENHIL': 6, 'GAJAH MADA': 1, 'ADITYAWARMAN': 1}"
lead_log,timezone_location,object,8,0,0.0,1,Asia/Jakarta,Asia/Jakarta,{'Asia/Jakarta': 8}
lead_log,current_status,object,8,0,0.0,5,Appointment,Warm,"{'Fresh': 3, 'Deal': 2, 'Warm': 1}"
